Title,Auction Name,Lot,Auction type,Center,Make,Model,Variant,Reg,Start Time,Start Date,D.O.R,Fuel Type,Body Type,Transmission,Colour,Year,Keys,VAT Status,V5,CAP Clean,CAP Average,CAP Below,CC,Mileage,Inspection Report,Images
2015 SKODA FABIA,Default,"
                            198",Online Auction,Swansea Motor Auctions,SKODA,FABIA,1.2 TSI 90 SE 5dr,GD15TLZ,18:00,10/12/2025,01/06/2015,Petrol,Estate,MANUAL,BLUE,2015,2,Margin,Here,Login to see this,Login to see this,Login to see this,1.2,86878,https://www.smva.co.uk/motorvehicleinspectionreport/standard/2053.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2053/images/1765202056_1940dq.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2053/images/1765202064_s049oC.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2053/images/1765202075_lhrsFn.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2053/images/1765202098_ImWvE6.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2053/images/1765202151_Ye7b7y.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2053/images/1765202160_IwKM4J.jpg"
2011 FORD MONDEO,Default,"
                            199",Online Auction,Swansea Motor Auctions,FORD,MONDEO,2.0 TDCi 140 Zetec 5dr,CP11ONV,18:00,10/12/2025,07/07/2011,Diesel,Hatchback,MANUAL,BROWN,2011,,Margin,Here,Login to see this,Login to see this,Login to see this,2.0,79982,https://www.smva.co.uk/motorvehicleinspectionreport/standard/2068.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2068/images/1765281720_V1wvBA.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2068/images/1765281728_7PTs08.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2068/images/1765281738_nqS8qN.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2068/images/1765281767_JBGDGl.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2068/images/1765281853_F0GZ6a.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2068/images/1765281863_jEINxl.jpg"
2016 VOLKSWAGEN AMAROK,Default,"
                            1",Online Auction,Swansea Motor Auctions,VOLKSWAGEN,AMAROK,DC HIGHLINE 4MOTION,CP65OHJ,18:00,10/12/2025,14/01/2016,Diesel,Pick-up,AUTOMATIC,GREEN,2016,2,Margin,Here,Login to see this,Login to see this,Login to see this,2.0,192167,https://www.smva.co.uk/motorvehicleinspectionreport/standard/1993.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1993/images/1764925328_W5uY1v.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1993/images/1764925335_CH9zVx.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1993/images/1764925341_GNJOXw.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1993/images/1764925351_ckiJs7.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1993/images/1764925357_EKmKur.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1993/images/1764925362_cfRJ5T.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1993/images/1764925368_bDFE8F.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1993/images/1764925346_D8Vt6i.jpg"
2017 MERCEDES-BENZ A CLASS,Default,"
                            200",Online Auction,Swansea Motor Auctions,MERCEDES-BENZ,A CLASS,A180 AMG Line Premium 5dr,CA66LNJ,18:00,10/12/2025,31/01/2017,Petrol,Hatchback,MANUAL,BLACK,2017,2,Margin,Here,Login to see this,Login to see this,Login to see this,1.6,93399,https://www.smva.co.uk/motorvehicleinspectionreport/standard/1902.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1902/images/1764581348_Gisl1l.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1902/images/1764581357_hgkx8K.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1902/images/1764581367_hVY9L6.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1902/images/1764581381_Z9F54m.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1902/images/1764581407_XOOa3S.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1902/images/1764581417_uBFPpQ.jpg"
2012 TOYOTA AURIS,Default,"
                            201",Online Auction,Swansea Motor Auctions,TOYOTA,AURIS,1.6 V-Matic SR 5dr,FD62DZL,18:00,10/12/2025,04/12/2012,Petrol,Hatchback,MANUAL,WHITE,2012,2,Margin,Here,Login to see this,Login to see this,Login to see this,1.6,75232,https://www.smva.co.uk/motorvehicleinspectionreport/standard/1897.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1897/images/1764581554_2pKar1.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1897/images/1764581564_h9j1sh.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1897/images/1764581587_iUkewZ.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1897/images/1764581592_4yBGYO.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1897/images/1764581619_cbuGTM.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1897/images/1764581627_WlDpnM.jpg"
2016 LAND ROVER RANGE ROVER EVOQUE,Default,"
                            202",Online Auction,Swansea Motor Auctions,LAND ROVER,RANGE ROVER EVOQUE,2.0 TD4 HSE Dynamic 5dr Auto,CN16SUU,18:00,10/12/2025,01/03/2016,Diesel,Estate,AUTOMATIC,BLACK,2016,,Margin,Here,Login to see this,Login to see this,Login to see this,2.0,93898,https://www.smva.co.uk/motorvehicleinspectionreport/standard/1852.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1852/images/1764174011_jNU138.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1852/images/1764174018_FNkwbI.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1852/images/1764174028_0NnMAT.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1852/images/1764174051_kKto5Y.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1852/images/1764174091_8jI1hX.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1852/images/1764174100_QC7rkv.jpg"
2017 LAND ROVER DISCOVERY SPORT,Default,"
                            204",Online Auction,Swansea Motor Auctions,LAND ROVER,DISCOVERY SPORT,2.0 TD4 180 HSE 5dr Auto,HJ67LGZ,18:00,10/12/2025,25/09/2017,Diesel,Estate,AUTOMATIC,GOLD,2017,1,Margin,Here,Login to see this,Login to see this,Login to see this,2.0,111619,https://www.smva.co.uk/motorvehicleinspectionreport/standard/2057.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2057/images/1765282720_Xl1eSC.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2057/images/1765282729_YFh8tL.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2057/images/1765282740_bPzyFS.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2057/images/1765282760_BPntyc.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2057/images/1765282820_G9tzPe.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2057/images/1765282828_q5nUYU.jpg"
2014 AUDI Q5,Default,"
                            205",Online Auction,Swansea Motor Auctions,AUDI,Q5,2.0 TDI Quattro S Line 5dr,CN14PXO,18:00,10/12/2025,01/03/2014,Diesel,Estate,MANUAL,BLACK,2014,,Margin,Here,Login to see this,Login to see this,Login to see this,2.0,89731,https://www.smva.co.uk/motorvehicleinspectionreport/standard/1919.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1919/images/1764666871_Zex4jc.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1919/images/1764666883_SKWqJx.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1919/images/1764666895_SJc9ye.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1919/images/1764666913_8zOW5j.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1919/images/1764666936_dUO5Hh.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1919/images/1764666951_E3gjgL.jpg"
2013 AUDI A1,Default,"
                            206",Online Auction,Swansea Motor Auctions,AUDI,A1,1.6 TDI S Line 5dr,FV13SVK,18:00,10/12/2025,01/05/2013,Diesel,Hatchback,MANUAL,BLUE,2013,,Margin,Here,Login to see this,Login to see this,Login to see this,1.6,81404,https://www.smva.co.uk/motorvehicleinspectionreport/standard/2006.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2006/images/1764925584_dTc9A4.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2006/images/1764925588_OIwYbS.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2006/images/1764925592_7VCN25.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2006/images/1764925599_anLlKt.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2006/images/1764925602_6WT6EC.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2006/images/1764925595_9Le3NO.jpg"
2013 PEUGEOT 208,Default,"
                            207",Online Auction,Swansea Motor Auctions,PEUGEOT,208,1.2 VTi Access+ 5dr,VA62UAM,18:00,10/12/2025,18/02/2013,Petrol,Hatchback,MANUAL,RED,2013,1,Margin,Here,Login to see this,Login to see this,Login to see this,1.2,69532,https://www.smva.co.uk/motorvehicleinspectionreport/standard/2020.pdf,
2018 FORD FIESTA,Default,"
                            208",Online Auction,Swansea Motor Auctions,FORD,FIESTA,1.5 TDCi 120 Titanium 5dr,GF68YFO,18:00,10/12/2025,27/11/2018,Diesel,Hatchback,MANUAL,BLUE,2018,2,Margin,Here,Login to see this,Login to see this,Login to see this,1.5,89242,https://www.smva.co.uk/motorvehicleinspectionreport/standard/2058.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2058/images/1765269455_DegLSJ.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2058/images/1765269471_7UrL2d.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2058/images/1765269483_GeBqxS.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2058/images/1765269510_XBjSYj.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2058/images/1765269576_F6Auef.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2058/images/1765269586_IhEHnY.jpg"
2022 SUZUKI S-CROSS,Default,"
                            209",Online Auction,Swansea Motor Auctions,SUZUKI,S-CROSS,1.4 Boosterjet 48V Hybrid Ultra ALLGRIP 5dr,KN72PVD,18:00,10/12/2025,31/10/2022,Hybrid Electric,Hatchback,MANUAL,WHITE,2022,,VAT Qualifying,Here,Login to see this,Login to see this,Login to see this,1.4,133538,https://www.smva.co.uk/motorvehicleinspectionreport/standard/2077.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2077/images/1765287273_8iGzYg.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2077/images/1765287281_y4WJvz.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2077/images/1765287292_iFR8J9.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2077/images/1765287324_76sR1d.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2077/images/1765287393_RoDrvb.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2077/images/1765287402_PIaJeB.jpg"
2016 AUDI A3,Default,"
                            210",Online Auction,Swansea Motor Auctions,AUDI,A3,2.0 TDI S Line 2dr,CU66YLH,18:00,10/12/2025,01/09/2016,Diesel,Convertible,MANUAL,GREY,2016,,Margin,Here,Login to see this,Login to see this,Login to see this,2.0,81073,https://www.smva.co.uk/motorvehicleinspectionreport/standard/1823.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1823/images/1764171114_Ukc7nY.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1823/images/1764171124_SxS04n.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1823/images/1764171134_BtYxZ0.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1823/images/1764171152_Wz2bR3.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1823/images/1764171192_jH72ZG.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1823/images/1764171201_E3oRlr.jpg"
2010 HONDA CR-V,Default,"
                            211",Online Auction,Swansea Motor Auctions,HONDA,CR-V,2.2 i-DTEC ES 5dr,YP60UKZ,18:00,10/12/2025,21/12/2010,Diesel,Estate,MANUAL,GREY,2010,,Margin,Here,Login to see this,Login to see this,Login to see this,2.2,116201,https://www.smva.co.uk/motorvehicleinspectionreport/standard/2018.pdf,
2019 JAGUAR E-PACE,Default,"
                            212",Online Auction,Swansea Motor Auctions,JAGUAR,E-PACE,2.0d R-Dynamic S 5dr Auto,CA19DZJ,18:00,10/12/2025,15/04/2019,Diesel,Estate,AUTOMATIC,BLACK,2019,2,Margin,Here,Login to see this,Login to see this,Login to see this,2.0,79924,https://www.smva.co.uk/motorvehicleinspectionreport/standard/1971.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1971/images/1764772533_uni4Dj.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1971/images/1764772540_dpBd7v.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1971/images/1764772550_cEpEuW.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1971/images/1764772580_3WHvrh.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1971/images/1764772590_6i6bHa.jpg"
2013 SKODA RAPID,Default,"
                            213",Online Auction,Swansea Motor Auctions,SKODA,RAPID,1.6 TDI CR GreenTech Elegance 5dr,AF13FOD,18:00,10/12/2025,26/03/2013,Diesel,Hatchback,MANUAL,GREY,2013,2,Margin,Here,Login to see this,Login to see this,Login to see this,1.6,168816,https://www.smva.co.uk/motorvehicleinspectionreport/standard/2049.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2049/images/1765209491_YcP4yy.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2049/images/1765209498_CSh6G9.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2049/images/1765209509_faHur7.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2049/images/1765209524_t9FDl6.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2049/images/1765209590_AJS8lg.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2049/images/1765209598_XdY6bp.jpg"
2014 MERCEDES-BENZ E CLASS,Default,"
                            215",Online Auction,Swansea Motor Auctions,MERCEDES-BENZ,E CLASS,E220 CDI AMG Sport 4dr 7G-Tronic,CF14FAO,18:00,10/12/2025,25/03/2014,Diesel,Saloon,AUTOMATIC,BLUE,2014,,Margin,Here,Login to see this,Login to see this,Login to see this,2.1,97204,https://www.smva.co.uk/motorvehicleinspectionreport/standard/1933.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1933/images/1764669468_nOiU1E.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1933/images/1764669480_cEQeP2.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1933/images/1764669494_FlipaB.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1933/images/1764669520_Lt9o65.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1933/images/1764669544_FHuS5T.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1933/images/1764669555_v2qpG7.jpg"
2017 RENAULT MEGANE,Default,"
                            216",Online Auction,Swansea Motor Auctions,RENAULT,MEGANE,1.5 dCi Dynamique Nav 5dr,MJ17TSU,18:00,10/12/2025,19/05/2017,Diesel,Hatchback,MANUAL,GREY,2017,2,Margin,Here,Login to see this,Login to see this,Login to see this,1.5,62510,https://www.smva.co.uk/motorvehicleinspectionreport/standard/2022.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2022/images/1765184361_nZ3Drq.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2022/images/1765184370_6NBXn1.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2022/images/1765184382_iRdBNL.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2022/images/1765184404_4FR6oD.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2022/images/1765184478_85Pdyu.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2022/images/1765184490_fCi7T5.jpg"
2020 MG MG ZS,Default,"
                            217",Online Auction,Swansea Motor Auctions,MG,MG ZS,EXCLUSIVE VTI-TECH,CU70OPV,18:00,10/12/2025,02/09/2020,Petrol,Hatchback,MANUAL,BLACK,2020,2,Margin,Here,Login to see this,Login to see this,Login to see this,1.5,62929,https://www.smva.co.uk/motorvehicleinspectionreport/standard/2037.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2037/images/1765189745_6H997o.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2037/images/1765189751_pHdWA1.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2037/images/1765189763_El1idv.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2037/images/1765189790_UqpSEb.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2037/images/1765189835_xVSN3Q.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2037/images/1765189845_sfW92x.jpg"
2017 FORD ECOSPORT,Default,"
                            218",Online Auction,Swansea Motor Auctions,FORD,ECOSPORT,ST-LINE,CF67AVC,18:00,10/12/2025,06/10/2017,Petrol,Hatchback,MANUAL,WHITE,2017,,Margin,Here,Login to see this,Login to see this,Login to see this,1.0,69099,https://www.smva.co.uk/motorvehicleinspectionreport/standard/2046.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2046/images/1765273284_BbpXk2.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2046/images/1765273292_Rspw2k.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2046/images/1765273302_UNwosu.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2046/images/1765273573_02lRnh.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2046/images/1765273640_RZGBqs.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2046/images/1765273650_o1HRO8.jpg"
2016 FORD S-MAX,Default,"
                            220",Online Auction,Swansea Motor Auctions,FORD,S-MAX,2.0 TDCi 150 Titanium 5dr Powershift,FH16ZPE,18:00,10/12/2025,31/05/2016,Diesel,MPV,AUTOMATIC,BLACK,2016,,Margin,Here,Login to see this,Login to see this,Login to see this,2.0,111373,https://www.smva.co.uk/motorvehicleinspectionreport/standard/1942.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1942/images/1764683195_8WJ7Zr.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1942/images/1764683207_cd1SVb.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1942/images/1764683219_OqbeQS.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1942/images/1764683241_ZfolRF.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1942/images/1764683258_Nx0Kil.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1942/images/1764683272_1OdEiX.jpg"
2016 VOLKSWAGEN GOLF,Default,"
                            221",Online Auction,Swansea Motor Auctions,VOLKSWAGEN,GOLF,2.0 TDI GT Edition 5dr,CP66GYA,18:00,10/12/2025,14/12/2016,Diesel,Hatchback,MANUAL,WHITE,2016,2,Margin,Here,Login to see this,Login to see this,Login to see this,2.0,128316,https://www.smva.co.uk/motorvehicleinspectionreport/standard/2024.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2024/images/1765187000_zn8EQl.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2024/images/1765187006_Brp9iN.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2024/images/1765187015_7JvOmw.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2024/images/1765187030_0672r9.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2024/images/1765187093_SQfoIJ.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2024/images/1765187105_WbmDUi.jpg"
2017 MAZDA 6,Default,"
                            222",Online Auction,Swansea Motor Auctions,MAZDA,6,2.2d SE-L Nav 5dr,OY17MFK,18:00,10/12/2025,28/03/2017,Diesel,Estate,MANUAL,WHITE,2017,2,Margin,Here,Login to see this,Login to see this,Login to see this,2.2,106269,https://www.smva.co.uk/motorvehicleinspectionreport/standard/2045.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2045/images/1765190457_cE9Of4.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2045/images/1765190475_NPo5UV.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2045/images/1765190502_ZHvlVc.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2045/images/1765190550_JCbuh0.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2045/images/1765190613_kQdFQV.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2045/images/1765190621_nsxRel.jpg"
2019 TOYOTA YARIS,Default,"
                            223",Online Auction,Swansea Motor Auctions,TOYOTA,YARIS,1.5 Hybrid Icon Tech 5dr CVT,CA19EAK,18:00,10/12/2025,31/03/2019,Hybrid Electric,Hatchback,CVT,WHITE,2019,2,Margin,Here,Login to see this,Login to see this,Login to see this,1.5,51763,https://www.smva.co.uk/motorvehicleinspectionreport/standard/2042.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2042/images/1765277192_bNvpye.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2042/images/1765277200_FUbW73.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2042/images/1765277209_9Uzjrg.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2042/images/1765277228_9NJO8b.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2042/images/1765277314_fmAOlH.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2042/images/1765277323_euQy2A.jpg"
2017 MERCEDES-BENZ C CLASS,Default,"
                            225",Online Auction,Swansea Motor Auctions,MERCEDES-BENZ,C CLASS,C200 SE 4dr,KN17MYX,18:00,10/12/2025,27/03/2017,Petrol,Saloon,MANUAL,BLUE,2017,,Margin,Here,Login to see this,Login to see this,Login to see this,2.0,115558,https://www.smva.co.uk/motorvehicleinspectionreport/standard/1921.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1921/images/1764670322_GYL2Aj.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1921/images/1764670331_2JObCK.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1921/images/1764670345_52PXGH.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1921/images/1764670380_tOnueG.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1921/images/1764670402_aYkkHo.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1921/images/1764670412_HooXJr.jpg"
2013 FORD FOCUS,Default,"
                            226",Online Auction,Swansea Motor Auctions,FORD,FOCUS,1.6 TDCi 115 Zetec 5dr,CU13XCO,18:00,10/12/2025,13/03/2013,Diesel,Hatchback,MANUAL,SILVER,2013,2,Margin,Here,Login to see this,Login to see this,Login to see this,1.6,92129,https://www.smva.co.uk/motorvehicleinspectionreport/standard/2009.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2009/images/1764925693_yPcylu.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2009/images/1764925699_ZdC6VR.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2009/images/1764925704_Dd7SeP.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2009/images/1764925717_Rq0O38.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2009/images/1764925721_a5oaft.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2009/images/1764925710_XqaM32.jpg"
