Title,Images,Model,Variant,reg_no,reg_date,mileage,color,Transmission_type,fuel,CO2,doors,Start_time,Ending_time,Trade_no,Lot_no,Current_bid,Auction_fee,No_of_bids,MOT Expiry:,Service History:,Keys:,No. of Registered Keepers:,Transmission:,C02 Emissions:,Seller:,Type,Date,Miles,Dealership,Standard_specs,Cond_image,Carpets (Front):,Carpets (Rear):,Upholstery (Front):,Upholstery (Rear):,Seats (Front):,Sears (Rear):,Headlining:,NSF:,NSR:,OSF:,OSR:,Spare:,Condition_Notes,Bidder,Price,Time,No_of_watchers,Closes,Buy_It_Now_Price,Cap_clean,Cap_retail,glasses,Delivery_charges
Mercedes-Benz Gla Diesel Hatchback,"https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-e53e45bb4ee54c858ceafa2dac8671b0.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-f345ff5ecb1b455f85e0241212f92caa.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-6962a6a56b914070bb7436cd90600cb0.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-7e4b6db30d8141878569ac54c87da2f8.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-22b09ca500f14d1c991b18a63604dccc.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-10cb960677384ee79febec8bc4e6bf19.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-7e996ffe627e4ae8a919b02823ebcc0b.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-1ef35476e7d7475f87d5d7f8ad57d2b9.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-fa6fe3101bab419390e7bd450061fb0d.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-07aebaf85f414139b8d7d36913327fad.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-f13d2173dbb741959cba5aadd83746b4.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-ed2d691d70484682ac9378bbe976601c.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-5238073c26e8445c8124289e98e4927d.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-a0fbea6530a943ddbfbdabdab9bf8524.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-4689989ac6a142da90016d5e4c907ebf.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-941774c92c434d77a05981217bde4b04.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-4a83e141a58e4b35b51d4fb66e08f46d.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-14c1592f2a914d7cb0a9216fe9f7b28b.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-07aebaf85f414139b8d7d36913327fad.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-f13d2173dbb741959cba5aadd83746b4.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-ed2d691d70484682ac9378bbe976601c.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-5238073c26e8445c8124289e98e4927d.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-a0fbea6530a943ddbfbdabdab9bf8524.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-4689989ac6a142da90016d5e4c907ebf.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-941774c92c434d77a05981217bde4b04.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-4a83e141a58e4b35b51d4fb66e08f46d.JPG, https://www.agnewtradecentre.com/images/vehicles/248989/LK68EPJ-14c1592f2a914d7cb0a9216fe9f7b28b.JPG",Gla Diesel Hatchback,Gla 200d 4matic Sport Premium 5dr Auto,LK68EPJ,27/01/2019,82178,BLACK,Automatic,Diesel,153 g/km,na,05 Nov 2025 14:54,10 Nov 2025 15:02,ATM-248989,48,No current bids,Appropriate fees may apply.,0,Dec 2025,PSH,2,3,Automatic,153,Mercedes-Benz Belfast,"['Service', 'Service', 'Service', 'Service', 'Service']","['24/06/2020', '15/07/2021', '16/11/2021', '19/06/2024', '21/01/2025']","['8128', '15151', '18590', '47285', '61570']","['MB Retail Group UK', 'MB Retail Group UK', 'MB Cambridge', 'No stamp', 'No stamp']","['8"" colour display screen', 'Active park assist with parktronic system', 'Attention assist', 'Coolant level warning indicator', 'DYNAMIC SELECT with a choice of driving modes (ECO, Comfort, Sport, Sport+ and Individual)', 'Easy-pack tailgate - Powered opening/closing automatically', 'Instrument cluster', 'Low fuel level warning light', 'Mercedes connect me', 'Multi function trip computer', 'Oil level warning', 'Outside temperature gauge', 'Service indicator (ASSYST)', 'Speed sensitive power steering', 'Stop/start system', 'Washer fluid reminder', 'Comfort suspension', '6 speakers', 'Bluetooth connectivity including audio streaming', 'Media interface', 'SD card slot', 'USB port', 'Adaptive brake lights', 'Adaptive LED headlights with high beam assist', 'Aluminium roof rails', 'Aspherically curved door mirror glass', 'Auto dimming interior + exterior mirrors', 'Automatic headlamp activation', 'Body colour bumpers', 'Body colour door handles', 'Body colour door mirrors', 'Chrome beltline trim', 'Dark chrome front and rear apron trim', 'Dark privacy glass from B-pillar backwards', 'Electric folding door mirrors', 'Electric front windows', 'Electric heated + adjustable door mirrors', 'Electric rear windows', 'Front fog lights', 'Heated rear window with timer', 'Heated windscreen wash system', 'LED indicators in door mirrors', 'LED tail lights', 'LED third brake light', 'Radiator grille with 2 louvres in Silver with chrome trim', 'Rain sensor windscreen wipers', 'Rear windscreen wiper with auto activation when reversing', 'Roof mounted radio aerial', 'Roof spoiler', 'Twin chrome exhaust tailpipes', '1/3 to 2/3 split folding rear seats', '12 colour Ambient lighting', '12V power socket in centre console', '12V socket in luggage compartment', '3 spoke multifunction nappa leather steering wheel', 'Adjustable head restraints', 'Artico man-made leather upholstery', 'Auto Mercedes-Benz child seat recognition sensor', 'Centre console storage', 'Centre console with cupholders', 'Courtesy light in boot', 'Footwell lights', 'Front and rear headrests', 'Front centre armrest with storage compartment', 'Front seat cushion length adjustment', 'Gearshift paddles', 'Grey headlining', 'Heated front seats', 'Height adjustable front seats', 'Height/reach adjustable steering column', 'Illuminated door sills', 'Illuminated glovebox', 'Interior door handle illumination', 'Isofix rear child seat preparation', 'Leather trimmed gearknob', 'Load securing rings in luggage compartment', 'Luggage compartment cover', 'Luggage compartment lighting', 'Rear Reading Lamps', 'Storage compartment in luggage compartment', 'Sunvisors with illuminated vanity mirrors', 'THERMOTRONIC automatic climate control', '3 rear 3 point seatbelts', 'ABS with Brake Assist', 'Active bonnet', 'Adaptive brake system', 'Black seat belts', 'Child proof door locks', 'Crash responsive emergency lighting', 'Drivers knee airbag', 'Dual stage driver/passenger airbags', 'Electronic parking brake', 'ESP with ASR', 'Front and rear seatbelt reminder', 'Front passenger seat occupancy sensor', 'Front side airbags', 'Hill descent control', 'Hill start assist', 'Tyre pressure monitoring system', 'Warning triangle and first aid kit', 'Window airbags', 'Alarm system/interior protection/immobiliser', 'Chrome surround in electric key', 'Keyless Start', 'Remote central locking', 'Chrome air vent surrounds', 'Sail pattern dash trim', 'Tirefit sealant with electric air pump']",https://www.agnewtradecentre.com/Vehicle.Splat?vehicleID=248989&splatImageFile=LK68EPJ-splat.png,Average,Average,Average,Average,Average,Good,Average,2.0 mm,3.0 mm,2.0 mm,3.0 mm,No,"2019 Gla 200d 4matic Sport Premium in Cosmos Black Metallic with contrasting Artico Crystal Grey leather, heated front seats, nav, rear camera, Light scratches around door handles. Good clean car. Does have some l acquer peeling on front bumper. Scratches on glove box. Some Mercedes and non Mercedes service history EML on and down on power,needs a couple of injectors and manifold fix",,,,,,,,,,
Land Rover Range Rover Evoque Hatchback,"https://www.agnewtradecentre.com/images/vehicles/249334/RRZ6046-da685e1c730d4fc3a01c8ad80fcd8250.JPG, https://www.agnewtradecentre.com/images/vehicles/249334/RRZ6046-1d4acf9d99c84428949266ac49aa7e76.JPG, https://www.agnewtradecentre.com/images/vehicles/249334/RRZ6046-d31374a3f4d14d85a2f8d8914f858e60.JPG, https://www.agnewtradecentre.com/images/vehicles/249334/RRZ6046-a062cfccd831488d95ba98a53e21f73f.JPG, https://www.agnewtradecentre.com/images/vehicles/249334/RRZ6046-0d9369bdc3d84f0ba4a0461f871102db.JPG, https://www.agnewtradecentre.com/images/vehicles/249334/RRZ6046-a207d468ff0a480e8b3b4d5bfc5fe5e4.JPG, https://www.agnewtradecentre.com/images/vehicles/249334/RRZ6046-e07bf7c3ce89419eaa7946c16ad8a4e9.JPG, https://www.agnewtradecentre.com/images/vehicles/249334/RRZ6046-ca31b46dabc54c8495fbd4e8552cbc62.JPG, https://www.agnewtradecentre.com/images/vehicles/249334/RRZ6046-a45e78f2763744f996f238790ee3deb5.JPG, https://www.agnewtradecentre.com/images/vehicles/249334/RRZ6046-bd36c8f24ebc4e2a8207fb6aba42b68a.JPG, https://www.agnewtradecentre.com/images/vehicles/249334/RRZ6046-349e8be8e2a2490cb541ea2fd046a426.JPG, https://www.agnewtradecentre.com/images/vehicles/249334/RRZ6046-9b8dc68ea43a4a80989b036695645f0b.JPG, https://www.agnewtradecentre.com/images/vehicles/249334/RRZ6046-c0e73bcc5c5043139d1aaf195c2be63a.JPG, https://www.agnewtradecentre.com/images/vehicles/249334/RRZ6046-bd36c8f24ebc4e2a8207fb6aba42b68a.JPG, https://www.agnewtradecentre.com/images/vehicles/249334/RRZ6046-349e8be8e2a2490cb541ea2fd046a426.JPG, https://www.agnewtradecentre.com/images/vehicles/249334/RRZ6046-9b8dc68ea43a4a80989b036695645f0b.JPG, https://www.agnewtradecentre.com/images/vehicles/249334/RRZ6046-c0e73bcc5c5043139d1aaf195c2be63a.JPG",Range Rover Evoque Hatchback,2.0 P200 R-Dynamic Se 5dr Auto,RRZ6046,24/07/2020,22020,GREY,Automatic,Petrol,210 g/km,na,05 Nov 2025 16:11,10 Nov 2025 15:04,ATM-249334,38,"£18,000",Appropriate fees may apply.,1,Nov 2026,FSH,2,2,Automatic,210,Mercedes-Benz Belfast,"['1', '2']","['21/07/2022', '15/08/2024']","['7287', '15258']","['Hurst Land Rover', 'Hurst Land Rover']","['Adaptive cruise control', 'Android Auto', 'Apple car play', 'Blind spot assist', 'Bluetooth connectivity', 'Brake pad wear indicator warning light', 'Driver condition monitor', 'eCall emergency system', 'Electronic power assisted steering (EPAS)', 'Front and rear parking aid', 'InControl remote', 'Land Rover InControl apps', 'Lane keep assist', 'Pivi pro connected includes upgraded infotainment, connected navigation pro, Nuance speech licence', 'Push button starter', 'Rear collision monitor', 'Rear traffic monitor', 'Traffic sign recognition with adaptive speed limiter', 'Voice control system', 'All terrain progress control', 'Efficient Driveline', 'Large fuel tank', 'Passive suspension', 'Terrain Response 2 Auto', 'Digital Audio Broadcast radio-DAB', 'Steering wheel mounted controls', 'Auto headlights', 'Automatic headlight levelling', 'Electric windows with one touch open/close and anti trap', 'Evoque and R-Dynamic badge', 'Flush deployable exterior door handles', 'Heated rear window with timer', 'Heated washer jets', 'Heated windscreen', 'Power fold, auto-dimming, heated door mirrors with approach lights and auto dimming driver side', 'Rain sensing windscreen wipers', 'Rear fog lights', 'Rear side wing doors', 'Rear wiper', 'Tailgate spoiler', 'Third brake light', '40:20:40 split folding rear seats with centre headrest and armrest', 'Ambient interior lighting', 'Bright metal pedals', 'Isofix system on outer rear seats', 'Overhead lighting console', 'Overhead stowage for sunglasses', 'Passive front head restraints', 'Rear air vents', 'Rear centre headrest', 'Rear head restraints', 'Satin chrome gearshift paddles', 'Single passenger seat', 'Sunvisors with illuminated vanity mirrors', 'Twin sliding front centre armrest', '3 rear 3 point seatbelts', 'Anti-lock braking system (ABS)', 'Customer configurable autolock', 'DSC - Dynamic Stability Control', 'Electronic brake force distribution', 'Electronic parking brake', 'Electronic traction control', 'Emergency braking', 'Front and rear seatbelt reminder', 'Hill descent control', 'Hill launch assist', 'Low traction launch', 'Power operated child locks', 'Roll stability control', 'Six airbags - Driver and passenger airbags/driver knee airbag/front side airbag and curtain airbags', 'Torque vectoring brake', 'Tyre pressure monitoring system', 'Alarm', 'Immobiliser', 'Intrusion sensor', 'Keyless entry', 'Locking wheel nuts']",,,,,,,,,,,,,,,[Other Bidder],"18,000","['07', 'Nov', '2025', '14:37']",1,Range Rover Evoque Hatchback,"£20,250","£20,840","£23,940",N/A,£349
