Title,Center,Platfrom,Make,Model,Variant,Reg,D.O.R,Year,mileage,Colour,Transmission,Fuel Type,Doors,Start Date,Start Time,End Date,End Time,Lot,General Condition,Tyres Condition,Damaged_images,Images,CAP Clean,CAP Retail,Glass Retail,Service History,No of services,Last Service,Last service mileage,MOT Expiry Date,Keys,Former Keepers,Vendor,Additional information,Bidding History,Last Bid,Bidding Status
Mercedes-Benz Gle Diesel Estate,Belfast,Agnew Trade Centre,Mercedes-Benz,Gle Diesel Estate,Gle 250d 4matic Amg Night Edition 5dr 9g-Tronic,MXZ3446,20/07/2018,2018,111676,GREY,Automatic,Diesel,,16 Dec 2025,15:50,18 Dec 2025,15:00,107,"{'Interior': {'Carpets (Front)': 'Good', 'Carpets (Rear)': 'Good', 'Upholstery (Front)': 'Average', 'Upholstery (Rear)': 'Good', 'Seats (Front)': 'Good', 'Sears (Rear)': 'Good', 'Headlining': 'Good'}, 'Other Information': {'CO2': '156 g/km', 'Delivery Charge': '£349', 'Trade No': 'ATM-250725'}}","NSF:5.0 mm,NSR:6.0 mm,OSF:5.0 mm,OSR:6.0 mm,Spare:Yes",https://www.agnewtradecentre.com/Vehicle.Splat?vehicleID=250725&splatImageFile=MXZ3446-splat.png,"https://www.agnewtradecentre.com/images/vehicles/250725/MXZ3446-e7ad944fc6444519bcadcff748c775e0.JPG,https://www.agnewtradecentre.com/images/vehicles/250725/MXZ3446-47081d37815d4c3d99fd1f1eb309015e.JPG,https://www.agnewtradecentre.com/images/vehicles/250725/MXZ3446-b1506ea4260847798a03914f2205c614.JPG,https://www.agnewtradecentre.com/images/vehicles/250725/MXZ3446-acd18661a25b4da4bf8ca2ce20bc83e7.JPG,https://www.agnewtradecentre.com/images/vehicles/250725/MXZ3446-4ec36be17eed42979bc73cb7d4c6a254.JPG,https://www.agnewtradecentre.com/images/vehicles/250725/MXZ3446-3f2887ebc41149928ba7ab0e89a3f929.JPG,https://www.agnewtradecentre.com/images/vehicles/250725/MXZ3446-e54ff9878de34c61bd832301e7ab81c9.JPG,https://www.agnewtradecentre.com/images/vehicles/250725/MXZ3446-b9d5085b5cf248ccba1018fd35e315ac.JPG,https://www.agnewtradecentre.com/images/vehicles/250725/MXZ3446-0bdc1c88253a4c5cb0c4723f52bbefe4.JPG","£13,825","£16,370",,"MB Portadown : 19/07/2018 : 8,MB Portadown : 08/07/2019 : 15445",2,08/07/2019,15445,Nov 2026,2,1,Mercedes-Benz Portadown,{'Additional Specification': {}},[],,
Title Not Found,Belfast,Agnew Trade Centre,Title,,,,,,,,,,,,,,,,"{'Interior': {}, 'Other Information': {'CO2': None, 'Delivery Charge': None, 'Trade No': None}}",,,,,,,,0,,,,,,,{'Additional Specification': {}},[],,
