Title,Lot,Date Registered,Year,Mileage,CC,Vendor,Colour,Transmission,Fuel,Registration,V5 Present?,CAP Clean,CAP Average,CAP Below,Autotrader Retail,VAT,Previous Owners,MOT Expires,Body type,Bid History
Lot 94: Ford Focus,94,03/10/2014,2014,"103,427 Miles Warranted","1,560",Main Agent,BLACK,MANUAL,Diesel,FN64XSH,Present,"£1,900.00","£1,500.00","£1,075.00","£3,177.00",No VAT,4,03/02/2026,Hatchback,"['Lot changed: G1-071209 (no. 94)', 'Auction in progress']"
Lot 95: Peugeot 3008,95,05/09/2013,2013,"65,705 Miles Warranted","1,560",Arnold Clark Sell Your Car,GREY,MANUAL,Diesel,SF63OGT,Present,"£1,375.00",£980.00,£575.00,"£3,096.00",No VAT,2,10/09/2026,Hatchback,"['Lot changed: 95', 'Lot 94 sold to proxy bidder for £1,200', 'Lot changed: G1-071209 (no. 94)', 'Auction in progress']"
