Reg,Bidding History
RE67EBK,"['LOT 25 SOLD TO LIVE FOR £10,900', 'LIVE: £10,900', 'LIVE: £10,800', 'HALL: £10,700', 'LIVE: £10,600', 'HALL: £10,400', 'LIVE: £10,200', 'STARTING: £10,000', 'LOT 19 SOLD TO LIVE FOR £1,000', 'LIVE: £1,000', 'LIVE: £900', 'LIVE: £800', 'STARTING: £700', 'LOT 18 SOLD TO HALL FOR £1,750', 'HALL: £1,750', 'LIVE: £1,700', 'HALL: £1,650', 'LIVE: £1,600', 'STARTING: £1,500', 'LOT 17 SOLD TO HALL FOR £2,200', 'HALL: £2,200', 'HALL: £2,150', 'HALL: £2,100', 'STARTING: £2,000']"
KW57EKB,"['LOT 26 SOLD TO HALL FOR £2,700', 'HALL: £2,700', 'LIVE: £2,600', 'HALL: £2,500', 'HALL: £2,400', 'HALL: £2,300', 'STARTING: £2,200', 'LOT 25 SOLD TO LIVE FOR £10,900', 'LIVE: £10,900', 'LIVE: £10,800', 'HALL: £10,700', 'LIVE: £10,600', 'HALL: £10,400', 'LIVE: £10,200', 'STARTING: £10,000', 'LOT 19 SOLD TO LIVE FOR £1,000', 'LIVE: £1,000', 'LIVE: £900', 'LIVE: £800', 'STARTING: £700', 'LOT 18 SOLD TO HALL FOR £1,750', 'HALL: £1,750', 'LIVE: £1,700', 'HALL: £1,650', 'LIVE: £1,600', 'STARTING: £1,500', 'LOT 17 SOLD TO HALL FOR £2,200', 'HALL: £2,200', 'HALL: £2,150', 'HALL: £2,100', 'STARTING: £2,000']"
HN61ECX,"['LOT 27 SOLD TO HALL FOR £700', 'HALL: £700', 'HALL: £650', 'HALL: £600', 'HALL: £550', 'HALL: £500', 'STARTING: £400', 'LOT 26 SOLD TO HALL FOR £2,700', 'HALL: £2,700', 'LIVE: £2,600', 'HALL: £2,500', 'HALL: £2,400', 'HALL: £2,300', 'STARTING: £2,200', 'LOT 25 SOLD TO LIVE FOR £10,900', 'LIVE: £10,900', 'LIVE: £10,800', 'HALL: £10,700', 'LIVE: £10,600', 'HALL: £10,400', 'LIVE: £10,200', 'STARTING: £10,000', 'LOT 19 SOLD TO LIVE FOR £1,000', 'LIVE: £1,000', 'LIVE: £900', 'LIVE: £800', 'STARTING: £700', 'LOT 18 SOLD TO HALL FOR £1,750', 'HALL: £1,750', 'LIVE: £1,700', 'HALL: £1,650', 'LIVE: £1,600', 'STARTING: £1,500', 'LOT 17 SOLD TO HALL FOR £2,200', 'HALL: £2,200', 'HALL: £2,150', 'HALL: £2,100', 'STARTING: £2,000']"
LL09PZT,"['LOT 28 SOLD TO HALL FOR £450', 'HALL: £450', 'HALL: £425', 'NOW TAKING BIDS AT £25', 'HALL: £400', 'HALL: £350', 'STARTING: £300', 'LOT 27 SOLD TO HALL FOR £700', 'HALL: £700', 'HALL: £650', 'HALL: £600', 'HALL: £550', 'HALL: £500', 'STARTING: £400', 'LOT 26 SOLD TO HALL FOR £2,700', 'HALL: £2,700', 'LIVE: £2,600', 'HALL: £2,500', 'HALL: £2,400', 'HALL: £2,300', 'STARTING: £2,200', 'LOT 25 SOLD TO LIVE FOR £10,900', 'LIVE: £10,900', 'LIVE: £10,800', 'HALL: £10,700', 'LIVE: £10,600', 'HALL: £10,400', 'LIVE: £10,200', 'STARTING: £10,000', 'LOT 19 SOLD TO LIVE FOR £1,000', 'LIVE: £1,000', 'LIVE: £900', 'LIVE: £800', 'STARTING: £700', 'LOT 18 SOLD TO HALL FOR £1,750', 'HALL: £1,750', 'LIVE: £1,700', 'HALL: £1,650', 'LIVE: £1,600', 'STARTING: £1,500', 'LOT 17 SOLD TO HALL FOR £2,200', 'HALL: £2,200', 'HALL: £2,150', 'HALL: £2,100', 'STARTING: £2,000']"
YH59VSJ,"['LOT 29 SOLD TO HALL FOR £800', 'HALL BID FOR £825 WAS RETRACTED', 'HALL: £825', 'HALL: £800', 'HALL: £775', 'HALL: £750', 'HALL: £725', 'HALL: £700', 'HALL: £650', 'HALL: £600', 'HALL: £550', 'HALL: £500', 'HALL: £450', 'HALL: £400', 'STARTING: £300', 'LOT 28 SOLD TO HALL FOR £450', 'HALL: £450', 'HALL: £425', 'NOW TAKING BIDS AT £25', 'HALL: £400', 'HALL: £350', 'STARTING: £300', 'LOT 27 SOLD TO HALL FOR £700', 'HALL: £700', 'HALL: £650', 'HALL: £600', 'HALL: £550', 'HALL: £500', 'STARTING: £400', 'LOT 26 SOLD TO HALL FOR £2,700', 'HALL: £2,700', 'LIVE: £2,600', 'HALL: £2,500', 'HALL: £2,400', 'HALL: £2,300', 'STARTING: £2,200', 'LOT 25 SOLD TO LIVE FOR £10,900', 'LIVE: £10,900', 'LIVE: £10,800', 'HALL: £10,700', 'LIVE: £10,600', 'HALL: £10,400', 'LIVE: £10,200', 'STARTING: £10,000', 'LOT 19 SOLD TO LIVE FOR £1,000', 'LIVE: £1,000', 'LIVE: £900', 'LIVE: £800', 'STARTING: £700', 'LOT 18 SOLD TO HALL FOR £1,750', 'HALL: £1,750', 'LIVE: £1,700', 'HALL: £1,650', 'LIVE: £1,600', 'STARTING: £1,500', 'LOT 17 SOLD TO HALL FOR £2,200', 'HALL: £2,200', 'HALL: £2,150', 'HALL: £2,100', 'STARTING: £2,000']"
FE66LVV,"['LOT 30 SOLD TO HALL FOR £14,200', 'HALL: £14,200', 'LIVE: £14,000', 'HALL: £13,800', 'LIVE: £13,600', 'HALL: £13,400', 'LIVE: £13,200', 'STARTING: £13,000', 'LOT 29 SOLD TO HALL FOR £800', 'HALL BID FOR £825 WAS RETRACTED', 'HALL: £825', 'HALL: £800', 'HALL: £775', 'HALL: £750', 'HALL: £725', 'HALL: £700', 'HALL: £650', 'HALL: £600', 'HALL: £550', 'HALL: £500', 'HALL: £450', 'HALL: £400', 'STARTING: £300', 'LOT 28 SOLD TO HALL FOR £450', 'HALL: £450', 'HALL: £425', 'NOW TAKING BIDS AT £25', 'HALL: £400', 'HALL: £350', 'STARTING: £300', 'LOT 27 SOLD TO HALL FOR £700', 'HALL: £700', 'HALL: £650', 'HALL: £600', 'HALL: £550', 'HALL: £500', 'STARTING: £400', 'LOT 26 SOLD TO HALL FOR £2,700', 'HALL: £2,700', 'LIVE: £2,600', 'HALL: £2,500', 'HALL: £2,400', 'HALL: £2,300', 'STARTING: £2,200', 'LOT 25 SOLD TO LIVE FOR £10,900', 'LIVE: £10,900', 'LIVE: £10,800', 'HALL: £10,700', 'LIVE: £10,600', 'HALL: £10,400', 'LIVE: £10,200', 'STARTING: £10,000', 'LOT 19 SOLD TO LIVE FOR £1,000', 'LIVE: £1,000', 'LIVE: £900', 'LIVE: £800', 'STARTING: £700', 'LOT 18 SOLD TO HALL FOR £1,750', 'HALL: £1,750', 'LIVE: £1,700', 'HALL: £1,650', 'LIVE: £1,600', 'STARTING: £1,500', 'LOT 17 SOLD TO HALL FOR £2,200', 'HALL: £2,200', 'HALL: £2,150', 'HALL: £2,100', 'STARTING: £2,000']"
PX15PMV,"['LOT 31 SOLD TO LIVE FOR £1,800', 'LIVE: £1,800', 'HALL: £1,750', 'HALL: £1,700', 'HALL: £1,600', 'LIVE: £1,500', 'LIVE: £1,400', 'HALL: £1,300', 'STARTING: £1,200', 'LOT 30 SOLD TO HALL FOR £14,200', 'HALL: £14,200', 'LIVE: £14,000', 'HALL: £13,800', 'LIVE: £13,600', 'HALL: £13,400', 'LIVE: £13,200', 'STARTING: £13,000', 'LOT 29 SOLD TO HALL FOR £800', 'HALL BID FOR £825 WAS RETRACTED', 'HALL: £825', 'HALL: £800', 'HALL: £775', 'HALL: £750', 'HALL: £725', 'HALL: £700', 'HALL: £650', 'HALL: £600', 'HALL: £550', 'HALL: £500', 'HALL: £450', 'HALL: £400', 'STARTING: £300', 'LOT 28 SOLD TO HALL FOR £450', 'HALL: £450', 'HALL: £425', 'NOW TAKING BIDS AT £25', 'HALL: £400', 'HALL: £350', 'STARTING: £300', 'LOT 27 SOLD TO HALL FOR £700', 'HALL: £700', 'HALL: £650', 'HALL: £600', 'HALL: £550', 'HALL: £500', 'STARTING: £400', 'LOT 26 SOLD TO HALL FOR £2,700', 'HALL: £2,700', 'LIVE: £2,600', 'HALL: £2,500', 'HALL: £2,400', 'HALL: £2,300', 'STARTING: £2,200', 'LOT 25 SOLD TO LIVE FOR £10,900', 'LIVE: £10,900', 'LIVE: £10,800', 'HALL: £10,700', 'LIVE: £10,600', 'HALL: £10,400', 'LIVE: £10,200', 'STARTING: £10,000', 'LOT 19 SOLD TO LIVE FOR £1,000', 'LIVE: £1,000', 'LIVE: £900', 'LIVE: £800', 'STARTING: £700', 'LOT 18 SOLD TO HALL FOR £1,750', 'HALL: £1,750', 'LIVE: £1,700', 'HALL: £1,650', 'LIVE: £1,600', 'STARTING: £1,500', 'LOT 17 SOLD TO HALL FOR £2,200', 'HALL: £2,200', 'HALL: £2,150', 'HALL: £2,100', 'STARTING: £2,000']"
SP08MTX,"['LOT 32 SOLD TO HALL FOR £250', 'HALL: £250', 'HALL: £225', 'NOW TAKING BIDS AT £25', 'STARTING: £200', 'LOT 31 SOLD TO LIVE FOR £1,800', 'LIVE: £1,800', 'HALL: £1,750', 'HALL: £1,700', 'HALL: £1,600', 'LIVE: £1,500', 'LIVE: £1,400', 'HALL: £1,300', 'STARTING: £1,200', 'LOT 30 SOLD TO HALL FOR £14,200', 'HALL: £14,200', 'LIVE: £14,000', 'HALL: £13,800', 'LIVE: £13,600', 'HALL: £13,400', 'LIVE: £13,200', 'STARTING: £13,000', 'LOT 29 SOLD TO HALL FOR £800', 'HALL BID FOR £825 WAS RETRACTED', 'HALL: £825', 'HALL: £800', 'HALL: £775', 'HALL: £750', 'HALL: £725', 'HALL: £700', 'HALL: £650', 'HALL: £600', 'HALL: £550', 'HALL: £500', 'HALL: £450', 'HALL: £400', 'STARTING: £300', 'LOT 28 SOLD TO HALL FOR £450', 'HALL: £450', 'HALL: £425', 'NOW TAKING BIDS AT £25', 'HALL: £400', 'HALL: £350', 'STARTING: £300', 'LOT 27 SOLD TO HALL FOR £700', 'HALL: £700', 'HALL: £650', 'HALL: £600', 'HALL: £550', 'HALL: £500', 'STARTING: £400', 'LOT 26 SOLD TO HALL FOR £2,700', 'HALL: £2,700', 'LIVE: £2,600', 'HALL: £2,500', 'HALL: £2,400', 'HALL: £2,300', 'STARTING: £2,200', 'LOT 25 SOLD TO LIVE FOR £10,900', 'LIVE: £10,900', 'LIVE: £10,800', 'HALL: £10,700', 'LIVE: £10,600', 'HALL: £10,400', 'LIVE: £10,200', 'STARTING: £10,000', 'LOT 19 SOLD TO LIVE FOR £1,000', 'LIVE: £1,000', 'LIVE: £900', 'LIVE: £800', 'STARTING: £700', 'LOT 18 SOLD TO HALL FOR £1,750', 'HALL: £1,750', 'LIVE: £1,700', 'HALL: £1,650', 'LIVE: £1,600', 'STARTING: £1,500', 'LOT 17 SOLD TO HALL FOR £2,200', 'HALL: £2,200', 'HALL: £2,150', 'HALL: £2,100', 'STARTING: £2,000']"
SM63CNZ,"['LOT 33 SOLD TO LIVE FOR £500', 'LIVE: £500', 'HALL: £450', 'HALL: £400', 'HALL: £350', 'STARTING: £300', 'LOT 32 SOLD TO HALL FOR £250', 'HALL: £250', 'HALL: £225', 'NOW TAKING BIDS AT £25', 'STARTING: £200', 'LOT 31 SOLD TO LIVE FOR £1,800', 'LIVE: £1,800', 'HALL: £1,750', 'HALL: £1,700', 'HALL: £1,600', 'LIVE: £1,500', 'LIVE: £1,400', 'HALL: £1,300', 'STARTING: £1,200', 'LOT 30 SOLD TO HALL FOR £14,200', 'HALL: £14,200', 'LIVE: £14,000', 'HALL: £13,800', 'LIVE: £13,600', 'HALL: £13,400', 'LIVE: £13,200', 'STARTING: £13,000', 'LOT 29 SOLD TO HALL FOR £800', 'HALL BID FOR £825 WAS RETRACTED', 'HALL: £825', 'HALL: £800', 'HALL: £775', 'HALL: £750', 'HALL: £725', 'HALL: £700', 'HALL: £650', 'HALL: £600', 'HALL: £550', 'HALL: £500', 'HALL: £450', 'HALL: £400', 'STARTING: £300', 'LOT 28 SOLD TO HALL FOR £450', 'HALL: £450', 'HALL: £425', 'NOW TAKING BIDS AT £25', 'HALL: £400', 'HALL: £350', 'STARTING: £300', 'LOT 27 SOLD TO HALL FOR £700', 'HALL: £700', 'HALL: £650', 'HALL: £600', 'HALL: £550', 'HALL: £500', 'STARTING: £400', 'LOT 26 SOLD TO HALL FOR £2,700', 'HALL: £2,700', 'LIVE: £2,600', 'HALL: £2,500', 'HALL: £2,400', 'HALL: £2,300', 'STARTING: £2,200', 'LOT 25 SOLD TO LIVE FOR £10,900', 'LIVE: £10,900', 'LIVE: £10,800', 'HALL: £10,700', 'LIVE: £10,600', 'HALL: £10,400', 'LIVE: £10,200', 'STARTING: £10,000', 'LOT 19 SOLD TO LIVE FOR £1,000', 'LIVE: £1,000', 'LIVE: £900', 'LIVE: £800', 'STARTING: £700', 'LOT 18 SOLD TO HALL FOR £1,750', 'HALL: £1,750', 'LIVE: £1,700', 'HALL: £1,650', 'LIVE: £1,600', 'STARTING: £1,500', 'LOT 17 SOLD TO HALL FOR £2,200', 'HALL: £2,200', 'HALL: £2,150', 'HALL: £2,100', 'STARTING: £2,000']"
OV14UKL,"['LOT 34 SOLD TO LIVE FOR £1,650', 'LIVE: £1,650', 'HALL: £1,625', 'LIVE: £1,600', 'HALL: £1,550', 'LIVE: £1,500 (multiple bid)', 'HALL: £1,350', 'LIVE: £1,300', 'HALL: £1,200', 'LIVE: £1,100', 'STARTING: £1,000', 'LOT 33 SOLD TO LIVE FOR £500', 'LIVE: £500', 'HALL: £450', 'HALL: £400', 'HALL: £350', 'STARTING: £300', 'LOT 32 SOLD TO HALL FOR £250', 'HALL: £250', 'HALL: £225', 'NOW TAKING BIDS AT £25', 'STARTING: £200', 'LOT 31 SOLD TO LIVE FOR £1,800', 'LIVE: £1,800', 'HALL: £1,750', 'HALL: £1,700', 'HALL: £1,600', 'LIVE: £1,500', 'LIVE: £1,400', 'HALL: £1,300', 'STARTING: £1,200', 'LOT 30 SOLD TO HALL FOR £14,200', 'HALL: £14,200', 'LIVE: £14,000', 'HALL: £13,800', 'LIVE: £13,600', 'HALL: £13,400', 'LIVE: £13,200', 'STARTING: £13,000', 'LOT 29 SOLD TO HALL FOR £800', 'HALL BID FOR £825 WAS RETRACTED', 'HALL: £825', 'HALL: £800', 'HALL: £775', 'HALL: £750', 'HALL: £725', 'HALL: £700', 'HALL: £650', 'HALL: £600', 'HALL: £550', 'HALL: £500', 'HALL: £450', 'HALL: £400', 'STARTING: £300', 'LOT 28 SOLD TO HALL FOR £450', 'HALL: £450', 'HALL: £425', 'NOW TAKING BIDS AT £25', 'HALL: £400', 'HALL: £350', 'STARTING: £300', 'LOT 27 SOLD TO HALL FOR £700', 'HALL: £700', 'HALL: £650', 'HALL: £600', 'HALL: £550', 'HALL: £500', 'STARTING: £400', 'LOT 26 SOLD TO HALL FOR £2,700', 'HALL: £2,700', 'LIVE: £2,600', 'HALL: £2,500', 'HALL: £2,400', 'HALL: £2,300', 'STARTING: £2,200', 'LOT 25 SOLD TO LIVE FOR £10,900', 'LIVE: £10,900', 'LIVE: £10,800', 'HALL: £10,700', 'LIVE: £10,600', 'HALL: £10,400', 'LIVE: £10,200', 'STARTING: £10,000', 'LOT 19 SOLD TO LIVE FOR £1,000', 'LIVE: £1,000', 'LIVE: £900', 'LIVE: £800', 'STARTING: £700', 'LOT 18 SOLD TO HALL FOR £1,750', 'HALL: £1,750', 'LIVE: £1,700', 'HALL: £1,650', 'LIVE: £1,600', 'STARTING: £1,500', 'LOT 17 SOLD TO HALL FOR £2,200', 'HALL: £2,200', 'HALL: £2,150', 'HALL: £2,100', 'STARTING: £2,000']"
