Title,Auction Name,Derivative,Images,Auction Availability,Lot,Start Time,Start Date,Center,Auction ID,D.O.R,Reg,Mileage,Mileage warranted,Colour,Body type,Doors,Fuel Type,Transmission,V5,MOT Expiry Date,CO2 emissions,VAT status,Former keepers,Non Runner,Vendor,Service History,Service Notes,No of Service,Last Service,Last service mileage,Grade,CAP clean,Euro Status,CAP retail,CAP average,CAP below,Autotrader Retail Value,Autotrader Trade Value,Powered by,Inspection date,VIN,Exterior grade,Interior grade,Make,Model,CC,Engine number,Body plan,Gearbox,Paint type,Colour Trim,Seats,Date of first reg,Keys,Inspection Report,Other Report,Tyres,Spare Tyre,Equipment,Damaged_images,Damage_details,Year
NISSAN JUKE HATCHBACK,Aston Barclay Prees Heath,1.0 DiG-T 114 N-Connecta 5dr DCT,"https://abimg003.imgix.net/SA23JVR/2025-11-26/image/cc4076db-7b84-483f-ba33-0041b9c71961_removebg.jpg?w=600, https://abimg003.imgix.net/SA23JVR/2025-11-26/image/f3bf621d-d548-4374-a5e7-a4f219fc97dd_removebg.jpg?w=600, https://abimg003.imgix.net/SA23JVR/2025-11-26/image/942361b0-9482-4253-b087-e56b736525e6_removebg.jpg?w=600, https://abimg003.imgix.net/SA23JVR/2025-11-26/image/350261ff-d6c0-4325-912d-5b93680af42e_removebg.jpg?w=600, https://abimg003.imgix.net/SA23JVR/2025-11-26/image/62d30bb9-1968-4328-b13d-bf75ba172b70_removebg.jpg?w=600, https://abimg003.imgix.net/SA23JVR/2025-11-26/image/b5184f57-ec78-4f60-b62f-2a960a6411df_removebg.jpg?w=600, https://abimg003.imgix.net/SA23JVR/2025-11-26/image/4d91bd4e-a51b-4ade-8419-1be7d526f61d_removebg.jpg?w=600, https://abimg003.imgix.net/SA23JVR/2025-11-26/image/32d35e49-307b-4357-90ae-b981c23b94d6_removebg.jpg?w=600, https://abimg003.imgix.net/SA23JVR/2025-11-26/image/6dab9dbb-3f78-4e3d-befc-255554c5b04c_removebg.jpg?w=600, https://abimg003.imgix.net/SA23JVR/2025-11-26/image/591a78c5-2bb2-4759-ab83-22a7cd0be63d_removebg.jpg?w=600",Available,100,10:15,2025-12-02,Aston Barclay Prees Heath,17790,2023-06-28,SA23JVR,24562,True,GREY,Hatchback,5,Petrol,automatic,False,,137,Margin,0,False,Motability Operations,"Service print and book 05/24- 9k, 04/25- 18k",spare key,2,04/25,18k,3,12850,6,15295,11600,,15030,12113,AA,2025-11-26,SJNFAAF16U1257515,,,NISSAN,JUKE HATCHBACK,9.99,,Hatchback,automatic,,,5,2023-06-28,2,https://abimg002.imgix.net/d45e9009-65aa-460b-a8b4-abb624ea5888.pdf,https://abimg002.imgix.net/a092f6c5-8345-431a-81fd-b2425dc72a78.pdf,"NSF: 5.0, OSF: 5.0, OSR: 5.0, NSR: 5.0",,"Leather or substitute, Air con, Sat nav","https://abimg003.imgix.net/SA23JVR/2025-11-26/damage/d0c87155-5c30-4b8a-8821-5fcbb8497a8e_1.jpg?w=600, https://abimg003.imgix.net/SA23JVR/2025-11-26/damage/8c79a58c-a3df-41ad-81e2-afa1736dd27b_1.jpg?w=600, https://abimg003.imgix.net/SA23JVR/2025-11-26/damage/9f804dfa-75ad-4771-ade2-15a52f1cffaa_1.jpg?w=600, https://abimg003.imgix.net/SA23JVR/2025-11-26/damage/9530d6e4-c32a-425e-95ed-3eb3aff80180_1.jpg?w=600, https://abimg003.imgix.net/SA23JVR/2025-11-26/damage/47b2db34-30ce-4a44-a655-4060b5211aef_1.jpg?w=600",Door osr – Dented Over 30mm; Wheel osr – Scratched Over 50mm; Door osf – Dented Over 30mm; Wheel osf – Scratched Over 50mm; Wheel nsf – Scratched Over 50mm,2023
RENAULT ARKANA ESTATE,Aston Barclay Prees Heath,1.6 E-TECH Hybrid 145 R.S. Line 5dr Auto,"https://abimg003.imgix.net/EO72LHB/2025-11-25/image/1402c3e9-cf15-4079-bf99-c440aae561ce_removebg.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/image/abda4e66-df03-442e-a610-21a5f9683105_removebg.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/image/32bc0122-1469-463d-8e13-9053b27415b2_removebg.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/image/5725fb64-1c4f-41a9-a4ef-6f94e5c03c0c_removebg.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/image/4f4ba312-1fb6-41ad-8750-c3f5e64d0111_removebg.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/image/3872c46c-6fa3-41da-80ca-168f199b744d_removebg.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/image/33b87da2-328e-41c1-9768-3c9084e6d952_removebg.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/image/ea1a71dc-071e-4370-88de-c40af40a8b18_removebg.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/image/6372c09b-039e-4f58-99ef-c99fa72a9279_removebg.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/image/aad20084-e8e7-45e8-9a57-007fe84075cd_removebg.jpg?w=600",Available,101,10:15,2025-12-02,Aston Barclay Prees Heath,17790,2022-10-04,EO72LHB,39825,True,WHITE,Estate,5,Petrol/Electric Hybrid,automatic,True,2026-10-03,108,Margin,0,False,Motability Operations,"Service print 11/23- 13k, 06/25- 34k",ADAPTIONS REMOVED - HELPING HANDLE FRONT PASSENGER SIDE vosa - 38k,2,06/25,34k,2,14000,6,16395,12700,,16061,13444,AA EV/Hybrid,2025-11-25,VF1RJL006UC355490,,,RENAULT,ARKANA ESTATE,15.98,,Estate,automatic,,,5,2022-10-04,2,https://abimg002.imgix.net/d5a7be7c-aa7d-4067-9e1f-5cfef5b45113.pdf,https://abimg002.imgix.net/3caf2481-ac94-4b8d-b2a6-0304c1a6e5f1.pdf,"NSF: 5.0, OSF: 5.0, OSR: 5.0, NSR: 5.0",,"Leather or substitute, Air con, Sat nav","https://abimg003.imgix.net/EO72LHB/2025-11-25/damage/08ac6bc2-0cb7-4d15-b338-ffd422b8ba58_1.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/damage/1092db5e-ab0c-42af-809b-371896285391_1.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/damage/e31d0347-01dc-4fbf-9bfd-0776c1a9895a_1.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/damage/8737fe64-f7ef-4fea-b1ee-9d9c4fc1d5d3_1.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/damage/63227455-8ee4-466d-8d57-74e0b9fec970_1.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/damage/5260e430-d5fe-409e-b518-f9b303e054c9_1.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/damage/de9934f4-659d-4607-ae17-2eede47a8153_1.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/damage/de9934f4-659d-4607-ae17-2eede47a8153_2.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/damage/d580d69a-0451-47d7-b83d-6ceb8c7e3d15_1.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/damage/cb9e6037-6f6e-44f8-853c-db12e4053db9_1.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/damage/0cf6324b-b7ce-49da-93dc-aea979166389_1.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/damage/f1bf2330-8852-4d8e-92f7-2a9fdca3144e_1.jpg?w=600, https://abimg003.imgix.net/EO72LHB/2025-11-25/damage/87382ea7-c0cc-4bc5-b31d-0c8d10c14056_1.jpg?w=600",Door nsf – Dented Between 10mm + 30mm; Door osr – Dented Between 10mm + 30mm; Tailgate Pad – Scuffed Over 25mm; Qtr Panel osr – Dented Over 2 UpTo 10mm; Tailgate – Dented Between 10mm + 30mm; Air Vents osf – Damaged Replace; Bumper Rear – Scratched 25 to 100mm Thru Paint; Spoiler Rear – Scratched (Painted) UpTo 25mm Thru Paint; Door osf – Dented 2 Or Less UpTo 10mm; Door Pad nsr – Scuffed Over 25mm; General Interior – Soiled Light; Fascia Trim – Damaged Replace,2022
PEUGEOT 3008 ESTATE,Aston Barclay Prees Heath,1.2 PureTech Allure 5dr,"https://abimg003.imgix.net/MK70XFA/2025-11-26/image/2ca31893-060f-43bd-b7fa-d81558993ed1_removebg.jpg?w=600, https://abimg003.imgix.net/MK70XFA/2025-11-26/image/c2f94b54-4acb-405a-98ca-ba66cefb6b51_removebg.jpg?w=600, https://abimg003.imgix.net/MK70XFA/2025-11-26/image/04817c72-7074-4933-bc05-11e7fcbd8069_removebg.jpg?w=600, https://abimg003.imgix.net/MK70XFA/2025-11-26/image/492bf6f7-34a8-414a-bb27-f62ea17115d5_removebg.jpg?w=600, https://abimg003.imgix.net/MK70XFA/2025-11-26/image/b9838732-0601-4fb8-895c-5ee6c9d8d901_removebg.jpg?w=600, https://abimg003.imgix.net/MK70XFA/2025-11-26/image/082aefa1-d25d-4990-aba1-f5a675f87589_removebg.jpg?w=600, https://abimg003.imgix.net/MK70XFA/2025-11-26/image/784f0839-99f3-4d25-960f-620bf607fa44_removebg.jpg?w=600, https://abimg003.imgix.net/MK70XFA/2025-11-26/image/3dccdf53-fe76-4b2d-88fa-05a45315731a_removebg.jpg?w=600, https://abimg003.imgix.net/MK70XFA/2025-11-26/image/b031051e-31e5-42b6-a78a-2f7186c8f28a_removebg.jpg?w=600",Available,102,10:15,2025-12-02,Aston Barclay Prees Heath,17790,2020-09-30,MK70XFA,13861,True,BLACK,Estate,5,Petrol,manual,False,2026-09-29,146,Margin,0,False,Motability Operations,"Service print and book 10/21-1k, 10/22-3k, 11/23- 7k, 12/24- 10k","vosa - 6k, 9k, 13k SPARE KEY IN OFFICE",4,12/24,10k,3,10250,6,12695,9150,,13957,10414,AA,2025-11-26,VF3MRHNSMLS199148,,,PEUGEOT,3008 ESTATE,12.0,,Estate,manual,,,5,2020-09-30,2,https://abimg002.imgix.net/732b042d-725b-4bef-8e63-efd3bc53cd48.pdf,https://abimg002.imgix.net/c6a53fd3-03c5-4931-8dfd-dc3982b50339.pdf,"NSF: 4.0, OSF: 3.0, OSR: 3.0, NSR: 3.0",,"Leather or substitute, Air con, Sat nav","https://abimg003.imgix.net/MK70XFA/2025-11-26/damage/02d34f22-1327-41ef-ad9f-9d27de96ecb0_1.jpg?w=600, https://abimg003.imgix.net/MK70XFA/2025-11-26/damage/c55b28de-dc65-4b96-a9b0-fa55c1e9b679_1.jpg?w=600, https://abimg003.imgix.net/MK70XFA/2025-11-26/damage/644693d6-94c1-4d4e-aabc-2b67283f3e2f_1.jpg?w=600",Door nsr – Previous Repair; Bumper Front – Previous Repair; Door nsf – Previous Repair; Wing nsf – Previous Repair; Wing osf – Previous Repair; Door osr – Scratched Over 25mm Thru Paint; Qtr Panel nsr – Previous Repair; Qtr Panel osr – Scratched UpTo 25mm Thru Paint; Door osf – Scratched Over 25mm Thru Paint; Bumper Rear – Scratched Up To 25mm Thru Paint,2020
VOLKSWAGEN T-ROC HATCHBACK,Aston Barclay Prees Heath,1.5 TSI EVO R-Line 5dr,"https://abimg003.imgix.net/CV20WMA/2025-11-24/image/b5412228-748a-4776-899c-3214d7382642_removebg.jpg?w=600, https://abimg003.imgix.net/CV20WMA/2025-11-24/image/815af51f-d385-40b4-9e31-709a39a67f5d_removebg.jpg?w=600, https://abimg003.imgix.net/CV20WMA/2025-11-24/image/a6845fd8-a5c1-44a2-8b55-ee701c531c6b_removebg.jpg?w=600, https://abimg003.imgix.net/CV20WMA/2025-11-24/image/02a72c59-2a9a-48d7-a6b5-2313d2f5962c_removebg.jpg?w=600, https://abimg003.imgix.net/CV20WMA/2025-11-24/image/c3721fa5-8f8e-4973-8dc5-5a61ca79322e_removebg.jpg?w=600, https://abimg003.imgix.net/CV20WMA/2025-11-24/image/1934eb75-6d89-4404-a580-05749041ef91_removebg.jpg?w=600, https://abimg003.imgix.net/CV20WMA/2025-11-24/image/e915c756-5a5d-4947-ad66-1e248a7bdc89_removebg.jpg?w=600, https://abimg003.imgix.net/CV20WMA/2025-11-24/image/5d8019ec-2497-4584-9db4-56279df2fdde_removebg.jpg?w=600, https://abimg003.imgix.net/CV20WMA/2025-11-24/image/c79d2c0e-89fe-4cb7-960e-142f39b8c2d6_removebg.jpg?w=600, https://abimg003.imgix.net/CV20WMA/2025-11-24/image/9e00a8c3-bc4a-4cba-b923-0874e73fda59_removebg.jpg?w=600",Available,103,10:15,2025-12-02,Aston Barclay Prees Heath,17790,2020-08-07,CV20WMA,21579,True,WHITE,Hatchback,5,Petrol,manual,False,2026-08-06,147,Margin,0,False,Motability Operations,Service print 07/25- 20k,"vosa - 11k, 16k, 20k spare key, sd card",1,07/25,20k,3,17300,6,19695,15950,,19876,16489,AA,2025-11-24,WVGZZZA1ZLV156045,,,VOLKSWAGEN,T-ROC HATCHBACK,14.98,,Hatchback,manual,,,5,2020-08-07,2,https://abimg002.imgix.net/cf21f133-db24-49b1-a6eb-bcedea0d3113.pdf,https://abimg002.imgix.net/9f2f3faf-b748-4136-b970-9874124877cf.pdf,"NSF: 5.0, OSF: 5.0, OSR: 5.0, NSR: 5.0",,"Leather or substitute, Air con, Sat nav","https://abimg003.imgix.net/CV20WMA/2025-11-24/damage/22287667-18a9-4843-a847-536b4ad8c271_1.jpg?w=600, https://abimg003.imgix.net/CV20WMA/2025-11-24/damage/22287667-18a9-4843-a847-536b4ad8c271_2.jpg?w=600, https://abimg003.imgix.net/CV20WMA/2025-11-24/damage/d89f761d-e5dc-4e24-b836-1a47c3f92ac1_1.jpg?w=600, https://abimg003.imgix.net/CV20WMA/2025-11-24/damage/e436de31-309b-482c-b6ea-14778c8d11f2_1.jpg?w=600, https://abimg003.imgix.net/CV20WMA/2025-11-24/damage/1ff81e67-1137-445d-9a95-9074bba4b486_1.jpg?w=600, https://abimg003.imgix.net/CV20WMA/2025-11-24/damage/1ff81e67-1137-445d-9a95-9074bba4b486_2.jpg?w=600, https://abimg003.imgix.net/CV20WMA/2025-11-24/damage/80ddc125-99cc-4320-940d-90113e6e8735_1.jpg?w=600, https://abimg003.imgix.net/CV20WMA/2025-11-24/damage/17065586-e51e-4a8c-92b0-a1854704ed96_1.jpg?w=600, https://abimg003.imgix.net/CV20WMA/2025-11-24/damage/425940cb-d4b0-4fe3-85b9-2a464405c6fa_1.jpg?w=600",Bumper Front – Scratched Over 100mm Thru Paint; Door osr – Dented With Paint Damage; Wheel osr – Scratched Up To 50mm; Bumper Rear – Scratched Over 100mm Thru Paint; Wheel nsr – Scratched Over 50mm; Wheel osf – Scratched Over 50mm; Wheel nsf – Scratched Over 50mm,2020
VAUXHALL MOKKA ELECTRIC HATCHBACK,Aston Barclay Prees Heath,100kW GS Line 50kWh 5dr Auto,"https://abimg003.imgix.net/MW72BVZ/2025-11-27/image/138b2e8d-9d08-4817-bbde-baa5eedc2374_removebg.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/image/7bb39238-fee3-482b-871b-994b4a40c5f3_removebg.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/image/3d1d55cd-c2bb-4afe-b29e-4cec37a7c829_removebg.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/image/2f8ad23f-6c9a-45e2-a428-e1943f5e8782_removebg.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/image/39d7da5d-1e64-40a0-ad55-48f42b5f940f_removebg.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/image/de6b317e-4617-4b6d-89f1-6f9ab247e64f_removebg.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/image/c5597209-0e0a-42dc-bbbb-adb3334fe158_removebg.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/image/5432cc67-d672-4ab7-a5ca-fa554da42a9e_removebg.jpg?w=600",Available,104,10:15,2025-12-02,Aston Barclay Prees Heath,17790,2022-10-31,MW72BVZ,15735,True,GREY,Hatchback,5,Electric,automatic,False,,,Margin,0,False,Motability Operations,"Service print 02/24- 10k, 03/25- 22k",SPARE KEY IN OFFICE,2,03/25,22k,3,12250,6,14695,11100,,13985,11366,AA EV/Hybrid,2025-11-27,VXKUKZKXZNW085261,,,VAUXHALL,MOKKA ELECTRIC HATCHBACK,,,Hatchback,automatic,,,5,2022-10-31,2,https://abimg002.imgix.net/1a3778a2-57d0-43bd-a769-8f9eae14a928.pdf,https://abimg002.imgix.net/aa29dea9-962f-43e0-8ba7-9a6f77b82985.pdf,"NSF: 3.0, OSF: 4.0, OSR: 5.0, NSR: 4.0",,"Heated seats, Climate control, Air con","https://abimg003.imgix.net/MW72BVZ/2025-11-27/damage/28e178dd-b7b5-40d2-aacb-50a70b7ac0a3_1.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/damage/22f4ec9d-7fd4-4c1b-81b6-bfbed10ff840_1.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/damage/412656a2-ab14-4aec-8c74-be29e8ece01e_1.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/damage/7fb252a6-aa04-40bb-996b-ddbbebd519ad_1.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/damage/86d8a411-9523-4bcf-8bd0-06c78a09a2d8_1.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/damage/2abd5dcd-2d57-4a02-a262-151f6f89369b_1.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/damage/0719e3b8-814f-4bb0-95e4-29f594149a56_1.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/damage/0719e3b8-814f-4bb0-95e4-29f594149a56_2.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/damage/0719e3b8-814f-4bb0-95e4-29f594149a56_3.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/damage/0719e3b8-814f-4bb0-95e4-29f594149a56_4.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/damage/0719e3b8-814f-4bb0-95e4-29f594149a56_5.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/damage/fb519a44-dc96-4aa8-847b-59e8f25f5a42_1.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/damage/e8cb5528-14d4-4d01-9196-e37cd54afaba_1.jpg?w=600, https://abimg003.imgix.net/MW72BVZ/2025-11-27/damage/04b63277-f88f-4e9d-b365-5bf8ed835e4f_1.jpg?w=600",Bumper Front – Scratched Over 100mm Thru Paint; Door osr – Dented Between 10mm + 30mm; Seat Base Cover nsf – Burn Over 3mm; Qtr Panel osr – Dented Between 10mm + 30mm; Wheel nsr – Scratched Over 50mm; Bumper Rear – Scratched Over 100mm Thru Paint; General Interior – Soiled Light; Carpets Front – Burn Over 10mm; Wheel osf – Scratched Over 50mm; Wheel nsf – Scratched Over 50mm,2022
RENAULT CAPTUR HATCHBACK,Aston Barclay Prees Heath,1.6 E-Tech Plug-in hybrid 160 Engineered 5dr Auto,"https://abimg003.imgix.net/CMZ4398/2025-11-17/image/4256e801-7453-4b65-b4e3-7149fc277567_removebg.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/image/0027cd30-8c13-4ea7-b5ab-6da6bf2f18dc_removebg.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/image/e4a7374f-1a2a-4ef5-8ef5-231e208fab6d_removebg.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/image/4d92fa93-a1b4-4b6d-9af7-4fbff6b30681_removebg.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/image/b5f065a8-33b1-42de-b7bf-fb874e755877_removebg.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/image/4ee44bbd-1330-4d2b-8c6f-9a226bbf3d37_removebg.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/image/0432f604-613c-45f1-a632-d703a7eb5c12_removebg.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/image/ca3f6dea-8a83-40fd-a459-9664a5ca0833_removebg.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/image/35948bc7-5459-4e39-9f55-97802e885096_removebg.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/image/4af8c288-461d-4b58-bb1e-7c65108b02ca_removebg.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/image/9bd25338-00d7-407b-b751-3759e0ad6925_removebg.jpg?w=600",Available,105,10:15,2025-12-02,Aston Barclay Prees Heath,17790,2023-11-24,CMZ4398,5399,True,BLACK,Hatchback,5,Petrol/Plugin Electric Hybrid,automatic,True,,156,Margin,0,False,Motability Operations,Service print 11/24- 3k,spare key in office,1,11/24,3k,4,16900,,19295,15550,,18504,15592,AA EV/Hybrid,2025-11-17,VF1RJB00571328405,,,RENAULT,CAPTUR HATCHBACK,13.9,,Hatchback,automatic,,,5,2023-11-24,2,https://abimg002.imgix.net/1bd2cc3b-a61a-4a6a-9b6f-700c5362152a.pdf,https://abimg002.imgix.net/9c160bac-8c6b-4e4d-9a62-653860577957.pdf,"NSF: 4.0, OSF: 4.0, OSR: 5.0, NSR: 4.0",,"Leather or substitute, Air con, Sat nav","https://abimg003.imgix.net/CMZ4398/2025-11-17/damage/f2d438b3-308e-4acf-8ddc-35daeebda19f_1.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/damage/0e172732-567a-4f08-b000-a63513051870_1.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/damage/f17c51f7-9fa8-4c6d-b55e-2d33bb189534_1.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/damage/5ee98038-1184-4795-b3dc-15425a1d3687_1.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/damage/c862a632-a78c-487b-80b2-bf778ba84db9_1.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/damage/476b4cf2-3d0d-4804-becf-13f16bfbb3dd_1.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/damage/2168adf0-a807-4238-b39a-b166cbb984b5_1.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/damage/0406dfed-7229-4277-a37e-8db189944280_1.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/damage/f7462ef7-eed7-4bb6-b80e-11ad589661d6_1.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/damage/f7462ef7-eed7-4bb6-b80e-11ad589661d6_2.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/damage/fd393b30-99fd-4d46-872d-0d0ad97f9244_1.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/damage/b595ab53-5d31-41fc-9ec5-c4669b42d824_1.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/damage/8c8b3439-8c78-4276-ab27-d66cf490ba3a_1.jpg?w=600, https://abimg003.imgix.net/CMZ4398/2025-11-17/damage/42673342-a6c4-40fa-b7f3-c82fc1c32ea5_1.jpg?w=600",Parking Sensor Front – Missing Replace; Door Mirror Assy nsf – Scratched (Painted) UpTo 25mm Thru Paint; Bumper Front – Cracked Over 25mm; Bumper Front Moulding – Broken Replace; Door nsf – Scratched UpTo 25mm Thru Paint; Door osr – Scratched UpTo 25mm Thru Paint; Wing osf – Scratched Over 25mm Thru Paint; Door Pad nsf – Burn Between 3mm + 10mm; Headlamp ns – Broken Replace; Bumper Front Grill – Broken Replace; Boot Lid – Scratched Over 25mm Thru Paint; Bonnet – Dented With Paint Damage; Wheel nsf – Scratched Over 50mm,2023
