Reg,Bidding History,Bidding Status
MH07 FJE,"['£525', '£500', '£475', '£450', '£425', '£400']",Reserve not met
MH07 FJE,"['£525', '£500', '£475', '£450', '£425', '£400']",Reserve not met
MH07 FJE,"['£550', '£525', '£500', '£475', '£450', '£425', '£400']",Provisional
MH07 FJE,"['£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
WF09 LWY,['£600'],Reserve not met
WF09 LWY,"['£725', '£700', '£675', '£650', '£625', '£600']",Provisional
WF09 LWY,"['£750', '£725', '£700', '£675', '£650', '£625', '£600']",Provisional
WF09 LWY,"['£775', '£750', '£725', '£700', '£675', '£650', '£625', '£600']",On Sale
CN63 ZDJ,['£600'],Reserve not met
CN63 ZDJ,"['£750', '£725', '£700', '£675', '£650', '£625', '£600']",Provisional
CN63 ZDJ,"['£750', '£725', '£700', '£675', '£650', '£625', '£600']",Provisional
CN63 ZDJ,"['£750', '£725', '£700', '£675', '£650', '£625', '£600']",On Sale
CN63 ZDJ,"['£750', '£725', '£700', '£675', '£650', '£625', '£600']",On Sale
YD11 CWN,['£300'],Reserve not met
YD11 CWN,"['£425', '£400', '£375', '£350', '£325', '£300']",Reserve not met
YD11 CWN,"['£425', '£400', '£375', '£350', '£325', '£300']",Reserve not met
YD11 CWN,"['£450', '£425', '£400', '£375', '£350', '£325', '£300']",On Sale
YD11 CWN,"['£450', '£425', '£400', '£375', '£350', '£325', '£300']",On Sale
FN14 APY,['£400'],Reserve not met
FN14 APY,"['£500', '£475', '£450', '£425', '£400']",Reserve not met
FN14 APY,"['£525', '£500', '£475', '£450', '£425', '£400']",Reserve not met
FN14 APY,"['£525', '£500', '£475', '£450', '£425', '£400']",Reserve not met
FN14 APY,"['£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
FN14 APY,"['£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
FN14 APY,"['£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
HG08 YFT,['£800'],Reserve not met
HG08 YFT,"['£1,050', '£1,000', '£950', '£900', '£850', '£800']",Provisional
HG08 YFT,"['£1,100', '£1,050', '£1,000', '£950', '£900', '£850', '£800']",On Sale
FT12 OTG,"['£500', '£400']",Reserve not met
FT12 OTG,"['£525', '£500', '£400']",Reserve not met
FT12 OTG,"['£550', '£525', '£500', '£400']",Provisional
FT12 OTG,"['£550', '£525', '£500', '£400']",On Sale
FT12 OTG,"['£550', '£525', '£500', '£400']",On Sale
FT12 OTG,"['£550', '£525', '£500', '£400']",On Sale
RF06 WUC,"['£700', '£600']",On Sale
RF06 WUC,"['£750', '£725', '£700', '£600']",On Sale
RF06 WUC,"['£825', '£800', '£775', '£750', '£725', '£700', '£600']",On Sale
RF06 WUC,"['£900', '£875', '£850', '£825', '£800', '£775', '£750', '£725', '£700', '£600']",On Sale
YE11 KXM,"['£300', '£200']",On Sale
YE11 KXM,"['£300', '£200']",On Sale
YE11 KXM,"['£300', '£200']",On Sale
KB57 UOE,['£100'],Reserve not met
KB57 UOE,['£100'],Reserve not met
KB57 UOE,['£100'],Reserve not met
KB57 UOE,['£100'],Reserve not met
HK07 SUF,['£500'],Reserve not met
HK07 SUF,"['£650', '£625', '£600', '£575', '£550', '£525', '£500']",Provisional
HK07 SUF,"['£650', '£625', '£600', '£575', '£550', '£525', '£500']",Provisional
HK07 SUF,"['£650', '£625', '£600', '£575', '£550', '£525', '£500']",Provisional
HK07 SUF,"['£650', '£625', '£600', '£575', '£550', '£525', '£500']",Provisional
HK07 SUF,"['£650', '£625', '£600', '£575', '£550', '£525', '£500']",On Sale
HK07 SUF,"['£650', '£625', '£600', '£575', '£550', '£525', '£500']",On Sale
RE06 CKJ,['£400'],Reserve not met
RE06 CKJ,"['£600', '£550', '£500', '£450', '£400']",Reserve not met
RE06 CKJ,"['£625', '£600', '£550', '£500', '£450', '£400']",Reserve not met
RE06 CKJ,"['£625', '£600', '£550', '£500', '£450', '£400']",Reserve not met
RE06 CKJ,"['£625', '£600', '£550', '£500', '£450', '£400']",On Sale
RE06 CKJ,"['£625', '£600', '£550', '£500', '£450', '£400']",On Sale
RE06 CKJ,"['£650', '£625', '£600', '£550', '£500', '£450', '£400']",On Sale
WL11 BNK,['£100'],Reserve not met
WL11 BNK,"['£250', '£225', '£200', '£175', '£150', '£125', '£100']",Reserve not met
WL11 BNK,"['£250', '£225', '£200', '£175', '£150', '£125', '£100']",Reserve not met
WL11 BNK,"['£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
WL11 BNK,"['£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
WL11 BNK,"['£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
WL11 BNK,"['£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
L777 GJP,['£100'],Reserve not met
L777 GJP,"['£225', '£200', '£175', '£150', '£125', '£100']",Reserve not met
L777 GJP,"['£350', '£325', '£300', '£275', '£250', '£225', '£200', '£175', '£150', '£125', '£100']",Reserve not met
L777 GJP,"['£350', '£325', '£300', '£275', '£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
L777 GJP,"['£350', '£325', '£300', '£275', '£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
L777 GJP,"['£350', '£325', '£300', '£275', '£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
RJ62 MTU,['£100'],Reserve not met
RJ62 MTU,"['£200', '£175', '£150', '£125', '£100']",Reserve not met
RJ62 MTU,"['£250', '£225', '£200', '£175', '£150', '£125', '£100']",Reserve not met
RJ62 MTU,"['£275', '£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
WR60 BGV,['£300'],Reserve not met
WR60 BGV,['£300'],Reserve not met
WR60 BGV,"['£350', '£325', '£300']",Reserve not met
WR60 BGV,"['£350', '£325', '£300']",On Sale
WR60 BGV,"['£350', '£325', '£300']",On Sale
LG61 EYW,"['£300', '£200']",Reserve not met
LG61 EYW,"['£350', '£325', '£300', '£200']",Reserve not met
LG61 EYW,"['£400', '£375', '£350', '£325', '£300', '£200']",On Sale
HIG 1045,['£100'],Reserve not met
HIG 1045,"['£125', '£100']",Reserve not met
HIG 1045,"['£125', '£100']",Reserve not met
HIG 1045,"['£175', '£150', '£125', '£100']",Reserve not met
HIG 1045,"['£175', '£150', '£125', '£100']",On Sale
HIG 1045,"['£175', '£150', '£125', '£100']",On Sale
HIG 1045,"['£175', '£150', '£125', '£100']",On Sale
FV10 CUW,"['£400', '£300']",On Sale
FV10 CUW,"['£425', '£400', '£300']",On Sale
FV10 CUW,"['£425', '£400', '£300']",On Sale
PE59 HXA,['£100'],Reserve not met
PE59 HXA,"['£300', '£275', '£250', '£250', '£225', '£200', '£175', '£150', '£125']",Reserve not met
